YEAR,MONTH,BULK_COUNT,MIN_DATE_BULK,MAX_DATE_BULK,MIN_DAY_BULK,MAX_DAY_BULK,AVG_DAY_BULK,DURATION_DAYS_BULK,DURATION_HOURS_BULK,DURATION_MINUTES_BULK
2017,3,613,16-MAR-17 09.19.49.000000000 AM,21-MAR-17 11.10.11.000000000 AM,15.389,20.465,20.37,5,1,7310
2017,4,622,13-APR-17 12.01.32.000000000 PM,13-APR-17 12.02.33.000000000 PM,12.501,12.502,12.501,0,0,1
2017,5,636,21-MAY-17 12.52.52.000000000 PM,21-MAY-17 12.54.07.000000000 PM,20.537,20.538,20.537,0,0,1
2017,6,626,18-JUN-17 10.27.45.000000000 AM,19-JUN-17 10.45.12.000000000 AM,17.436,18.448,18.38,1,0,1457
2017,7,621,24-JUL-17 11.24.39.000000000 AM,24-JUL-17 11.25.46.000000000 AM,23.475,23.476,23.476,0,0,1
2017,8,615,22-AUG-17 09.29.28.000000000 AM,22-AUG-17 09.30.34.000000000 AM,21.395,21.396,21.396,0,0,1
2017,9,613,22-SEP-17 01.32.08.000000000 PM,22-SEP-17 01.32.56.000000000 PM,21.564,21.565,21.564,0,0,1
2017,10,638,23-OCT-17 07.46.07.000000000 PM,24-OCT-17 01.14.17.000000000 PM,22.824,23.552,23.543,0,17,1048
2017,11,659,21-NOV-17 03.43.58.000000000 PM,21-NOV-17 03.44.16.000000000 PM,20.656,20.656,20.656,0,0,0
2017,12,658,10-DEC-17 01.24.03.000000000 PM,17-DEC-17 12.13.22.000000000 PM,9.558,16.509,16.486,6,22,10009
2018,1,672,22-JAN-18 10.57.31.000000000 AM,22-JAN-18 10.57.50.000000000 AM,21.457,21.457,21.457,0,0,0
2018,2,658,25-FEB-18 11.30.15.000000000 AM,25-FEB-18 11.31.14.000000000 AM,24.479,24.48,24.48,0,0,1
2018,3,676,23-MAR-18 09.17.35.000000000 PM,23-MAR-18 09.18.39.000000000 PM,22.887,22.888,22.888,0,0,1
2018,4,676,23-APR-18 05.47.46.000000000 PM,23-APR-18 05.48.31.000000000 PM,22.742,22.742,22.742,0,0,1
2018,5,694,23-MAY-18 11.54.18.000000000 AM,23-MAY-18 11.54.43.000000000 AM,22.496,22.496,22.496,0,0,0
2018,6,625,12-JUN-18 11.31.02.000000000 AM,12-JUN-18 11.31.26.000000000 AM,11.48,11.48,11.48,0,0,0
2018,7,687,22-JUL-18 11.46.05.000000000 AM,22-JUL-18 11.46.30.000000000 AM,21.49,21.491,21.49,0,0,0
2018,8,680,13-AUG-18 08.11.24.000000000 PM,13-AUG-18 08.11.49.000000000 PM,12.841,12.842,12.841,0,0,0
2018,9,677,21-SEP-18 04.24.50.000000000 PM,21-SEP-18 04.25.13.000000000 PM,20.684,20.684,20.684,0,0,0
2018,10,692,23-OCT-18 09.09.26.000000000 AM,24-OCT-18 10.26.32.000000000 AM,22.382,23.435,23.432,1,1,1517
2018,11,4,24-NOV-18 04.51.10.000000000 PM,24-NOV-18 04.51.30.000000000 PM,23.702,23.702,23.702,0,0,0
2018,12,632,17-DEC-18 12.31.52.000000000 PM,17-DEC-18 12.32.22.000000000 PM,16.522,16.522,16.522,0,0,0
2019,1,627,22-JAN-19 06.01.08.000000000 PM,22-JAN-19 06.01.36.000000000 PM,21.751,21.751,21.751,0,0,0
2019,2,624,18-FEB-19 01.49.10.000000000 PM,18-FEB-19 01.49.36.000000000 PM,17.576,17.576,17.576,0,0,0
2019,3,652,10-MAR-19 03.11.55.000000000 PM,20-MAR-19 01.21.14.000000000 PM,9.633,19.556,17.548,9,22,14289
2019,4,626,23-APR-19 11.02.46.000000000 AM,23-APR-19 11.03.12.000000000 AM,22.46,22.461,22.46,0,0,0
2019,5,629,15-MAY-19 12.16.00.000000000 PM,15-MAY-19 12.16.27.000000000 PM,14.511,14.511,14.511,0,0,0
2019,6,613,22-JUN-19 02.38.23.000000000 PM,22-JUN-19 02.38.50.000000000 PM,21.61,21.61,21.61,0,0,0
2019,7,615,24-JUL-19 12.20.43.000000000 PM,24-JUL-19 12.21.11.000000000 PM,23.514,23.515,23.515,0,0,0
2019,8,635,22-AUG-19 09.37.51.000000000 AM,22-AUG-19 09.38.21.000000000 AM,21.401,21.402,21.401,0,0,1
2019,9,602,25-SEP-19 12.03.58.000000000 PM,25-SEP-19 12.04.34.000000000 PM,24.503,24.503,24.503,0,0,1
2019,10,633,08-OCT-19 03.04.19.000000000 PM,17-OCT-19 08.31.53.000000000 AM,7.628,16.355,15.873,8,17,12568
2019,11,647,21-NOV-19 09.35.55.000000000 AM,21-NOV-19 09.36.25.000000000 AM,20.4,20.4,20.4,0,0,0
2019,12,615,22-DEC-19 08.35.01.000000000 AM,22-DEC-19 08.35.32.000000000 AM,21.358,21.358,21.358,0,0,1
2020,1,662,22-JAN-20 03.00.33.000000000 PM,22-JAN-20 03.01.06.000000000 PM,21.625,21.626,21.626,0,0,1
2020,2,640,24-FEB-20 02.18.50.000000000 PM,24-FEB-20 02.19.22.000000000 PM,23.596,23.597,23.597,0,0,1
